"RK",TIERS,"PLAYER NAME",TEAM,"POS","AGE","BEST","WORST","AVG.","STD.DEV","ECR VS ADP"
"156",11,"Alim McNeill",DET,"DT25","26","100","100","100.0","0.0","-"
"157",11,"Josh Sweat",ARI,"DE37","29","103","103","103.0","0.0","-"
"158",11,"Leo Chenal",WAS,"LB55","25","103","103","103.0","0.0","-"
"159",11,"Dee Winters",DAL,"LB56","25","104","104","104.0","0.0","-"
"160",11,"T'Vondre Sweat",NYJ,"DT26","25","105","105","105.0","0.0","-"
"161",11,"Reed Blankenship",HOU,"S39","27","107","107","107.0","0.0","-"
"162",11,"Gervon Dexter Sr.",CHI,"DT27","24","108","108","108.0","0.0","-"
"163",11,"Javon Bullard",GB,"S40","23","110","110","110.0","0.0","-"
"164",11,"Alex Anzalone",TB,"LB57","31","111","111","111.0","0.0","-"
"165",11,"Myles Murphy",CIN,"DE38","24","113","113","113.0","0.0","-"
"166",11,"Mykel Williams",SF,"DT28","22","115","115","115.0","0.0","-"
"167",11,"Keeanu Benton",PIT,"DT29","24","116","116","116.0","0.0","-"
"168",11,"Marcus Davenport",FA,"DE39","29","117","117","117.0","0.0","-"
"169",11,"Darius Robinson",ARI,"DT30","24","118","118","118.0","0.0","-"
"170",11,"Walter Nolen III",ARI,"DT31","22","119","119","119.0","0.0","-"
"171",11,"Jalen Thompson",DAL,"S41","27","120","120","120.0","0.0","-"
"172",11,"Daron Payne",WAS,"DT32","29","121","121","121.0","0.0","-"
"173",11,"Derrick Harmon",PIT,"DT33","22","123","123","123.0","0.0","-"
"174",11,"Cameron Heyward",PIT,"DT34","37","124","124","124.0","0.0","-"
